#      Natural abundances
#  Z  A  El   abundance  uncert.
#               [%]       [%]
#-------------------------------
  48 112 Cd  24.129999  0.210000
  48 113 Cd  12.220000  0.120000
  48 114 Cd  28.730000  0.420000
  48 116 Cd   7.490000  0.180000
  49 113 In   4.290000  0.050000
  49 115 In  95.709999  0.050000
  50 112 Sn   0.970000  0.010000
  50 114 Sn   0.660000  0.010000
  50 115 Sn   0.340000  0.010000
  50 116 Sn  14.540000  0.090000
  50 117 Sn   7.680000  0.070000
  50 118 Sn  24.219999  0.090000
  50 119 Sn   8.590000  0.040000
  50 120 Sn  32.580002  0.090000
  50 122 Sn   4.630000  0.030000
  50 124 Sn   5.790000  0.050000
  51 121 Sb  57.209999  0.050000
  51 123 Sb  42.790001  0.050000
  52 120 Te   0.090000  0.010000
  52 122 Te   2.550000  0.120000
  52 123 Te   0.890000  0.030000
  52 124 Te   4.740000  0.140000
  52 125 Te   7.070000  0.150000
  52 126 Te  18.840000  0.250000
  52 128 Te  31.740000  0.080000
  52 130 Te  34.080002  0.620000
  53 127 I  100.000000  0.000000
  54 124 Xe   0.095000  0.003000
  54 126 Xe   0.089000  0.001000
  54 128 Xe   1.910000  0.022000
  54 129 Xe  26.400000  0.180000
  54 130 Xe   4.071000  0.053000
  54 131 Xe  21.232000  0.062000
  54 132 Xe  26.909000  0.068000
  54 134 Xe  10.436000  0.029000
  54 136 Xe   8.857000  0.033000
  55 133 Cs 100.000000  0.000000
  56 130 Ba   0.106000  0.001000
  56 132 Ba   0.101000  0.001000
  56 134 Ba   2.417000  0.018000
  56 135 Ba   6.592000  0.012000
  56 136 Ba   7.854000  0.024000
  56 137 Ba  11.232000  0.024000
  56 138 Ba  71.697998  0.042000
  57 138 La   0.090000  0.001000
  57 139 La  99.910004  0.001000
  58 136 Ce   0.185000  0.002000
  58 138 Ce   0.251000  0.002000
  58 140 Ce  88.449997  0.018000
  58 142 Ce  11.114000  0.017000
  59 141 Pr 100.000000  0.000000
  60 142 Nd  27.200001  0.500000
  60 143 Nd  12.200000  0.200000
  60 144 Nd  23.799999  0.300000
  60 145 Nd   8.300000  0.100000
  60 146 Nd  17.200001  0.300000
  60 148 Nd   5.700000  0.100000
  60 150 Nd   5.600000  0.200000
  62 144 Sm   3.070000  0.070000
  62 147 Sm  14.990000  0.180000
  62 148 Sm  11.240000  0.100000
  62 149 Sm  13.820000  0.070000
  62 150 Sm   7.380000  0.010000
  62 152 Sm  26.750000  0.160000
  62 154 Sm  22.750000  0.290000
  63 151 Eu  47.810001  0.030000
  63 153 Eu  52.189999  0.030000
  64 152 Gd   0.200000  0.010000
  64 154 Gd   2.180000  0.030000
  64 155 Gd  14.800000  0.120000
  64 156 Gd  20.469999  0.090000
  64 157 Gd  15.650000  0.020000
  64 158 Gd  24.840000  0.070000
  64 160 Gd  21.860001  0.190000
  65 159 Tb 100.000000  0.000000
  66 156 Dy   0.060000  0.010000
  66 158 Dy   0.100000  0.010000
  66 160 Dy   2.340000  0.080000
  66 161 Dy  18.910000  0.240000
  66 162 Dy  25.510000  0.260000
  66 163 Dy  24.900000  0.160000
  66 164 Dy  28.180000  0.370000
  67 165 Ho 100.000000  0.000000
  68 162 Er   0.139000  0.005000
  68 164 Er   1.601000  0.003000
  68 166 Er  33.502998  0.036000
  68 167 Er  22.868999  0.009000
  68 168 Er  26.978001  0.018000
  68 170 Er  14.910000  0.036000
  69 169 Tm 100.000000  0.000000
  70 168 Yb   0.130000  0.010000
  70 170 Yb   3.040000  0.150000
  70 171 Yb  14.280000  0.570000
  70 172 Yb  21.830000  0.670000
  70 173 Yb  16.129999  0.270000
  70 174 Yb  31.830000  0.920000
  70 176 Yb  12.760000  0.410000
  71 175 Lu  97.410004  0.020000
  71 176 Lu   2.590000  0.020000
  72 174 Hf   0.160000  0.010000
  72 176 Hf   5.260000  0.070000
  72 177 Hf  18.600000  0.090000
  72 178 Hf  27.280001  0.070000
  72 179 Hf  13.620000  0.020000
  72 180 Hf  35.080002  0.160000
  73 180 Ta   0.012000  0.002000
  73 181 Ta  99.987999  0.002000
  74 180 W    0.120000  0.010000
  74 182 W   26.500000  0.160000
  74 183 W   14.310000  0.040000
  74 184 W   30.639999  0.020000
  74 186 W   28.430000  0.190000
  75 185 Re  37.400002  0.020000
  75 187 Re  62.599998  0.020000
  76 184 Os   0.020000  0.010000
  76 186 Os   1.590000  0.030000
  76 187 Os   1.600000  0.300000
  76 188 Os  13.290000  0.080000
  76 189 Os  16.209999  0.050000
  76 190 Os  26.360001  0.020000
  76 192 Os  40.930000  0.190000
  77 191 Ir  37.299999  0.200000
  77 193 Ir  62.700001  0.200000
  78 190 Pt   0.014000  0.001000
  78 192 Pt   0.782000  0.007000
  78 194 Pt  32.966999  0.099000
  78 195 Pt  33.832001  0.010000
  78 196 Pt  25.242001  0.041000
  78 198 Pt   7.163000  0.055000
  79 197 Au 100.000000  0.000000
  80 196 Hg   0.150000  0.010000
  80 198 Hg   9.970000  0.200000
  80 199 Hg  16.870001  0.220000
  80 200 Hg  23.100000  0.190000
  80 201 Hg  13.180000  0.090000
  80 202 Hg  29.860001  0.260000
  80 204 Hg   6.870000  0.150000
  81 203 Tl  29.524000  0.014000
  81 205 Tl  70.475998  0.014000
  82 204 Pb   1.400000  0.100000
  82 206 Pb  24.100000  0.100000
  82 207 Pb  22.100000  0.100000
  82 208 Pb  52.400002  0.100000
  83 209 Bi 100.000000  0.000000
  90 232 Th 100.000000  0.000000
  92 234 U    0.005400  0.000500
  92 235 U    0.720400  0.000600
  92 238 U   99.274200  0.001000
